HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Answer.surveycode,Approve,Reject
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,30LSNF239V92G9NZMT5LOU7Y960I2A,A33JC8PKK6Z85T,Approved,Wed Jul 09 18:16:41 GMT 2014,Wed Jul 09 18:21:29 GMT 2014,Thu Jul 10 18:21:29 GMT 2014,2014/07/09 22:54:32 +0000,,,288,100% (1/1),100% (1/1),0% (0/0),2518490,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,33CID571057TRSROBWG3ZK4IWOV3LL,A3QLGMZOLGMBQ1,Approved,Wed Jul 09 18:17:38 GMT 2014,Wed Jul 09 18:40:12 GMT 2014,Thu Jul 10 18:40:12 GMT 2014,2014/07/09 22:54:41 +0000,,,1354,100% (1/1),100% (1/1),0% (0/0),8536400,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,33IZTU6J82FSB3TSFUKSIM7HVD3XSS,A3AY20RTOQD3NU,Approved,Wed Jul 09 18:17:33 GMT 2014,Wed Jul 09 18:24:22 GMT 2014,Thu Jul 10 18:24:22 GMT 2014,2014/07/09 22:54:34 +0000,,,409,100% (1/1),100% (1/1),0% (0/0),7427586,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,33M4IA01QHFGAOTF05KNSC2L9BKXR4,A00236363DL2ZN8A4FD78,Approved,Wed Jul 09 18:17:29 GMT 2014,Wed Jul 09 18:22:57 GMT 2014,Thu Jul 10 18:22:57 GMT 2014,2014/07/09 22:54:33 +0000,,,328,100% (1/1),100% (1/1),0% (0/0),8715953,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,33PPO7FECWTPJJLFJIP2KDY26XQIDK,A2WHVVLZWWN7PL,Approved,Wed Jul 09 18:16:08 GMT 2014,Wed Jul 09 19:00:38 GMT 2014,Thu Jul 10 19:00:38 GMT 2014,2014/07/09 22:54:42 +0000,,,2670,100% (1/1),100% (1/1),0% (0/0),3590524,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,3634BBTX0P8MH3ZBAOKS8D1NIA6IFV,A2J7PEUIO2WVUN,Approved,Wed Jul 09 18:16:21 GMT 2014,Wed Jul 09 18:44:02 GMT 2014,Thu Jul 10 18:44:02 GMT 2014,2014/07/09 22:54:42 +0000,,,1661,100% (1/1),100% (1/1),0% (0/0),9779496,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,36AHBNMV1SQB9J0KN0B561SQWGODYL,A1VZSFHTU51JP0,Approved,Wed Jul 09 18:17:02 GMT 2014,Wed Jul 09 19:57:58 GMT 2014,Thu Jul 10 19:57:58 GMT 2014,2014/07/09 22:54:44 +0000,,,6056,100% (1/1),100% (1/1),0% (0/0),7708306,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,36V4Q8R5ZLE54BFB9JTEC5CI6LZQMD,A31A4YKVSOYRVS,Approved,Wed Jul 09 18:18:32 GMT 2014,Wed Jul 09 19:10:54 GMT 2014,Thu Jul 10 19:10:54 GMT 2014,2014/07/09 22:54:42 +0000,,,3142,100% (1/1),100% (1/1),0% (0/0),4790286,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,36WLNQG780OKOHL9938548CABJ7BEX,AU0NZI2T3R792,Approved,Wed Jul 09 18:17:47 GMT 2014,Wed Jul 09 18:22:34 GMT 2014,Thu Jul 10 18:22:34 GMT 2014,2014/07/09 22:54:33 +0000,,,287,100% (1/1),100% (1/1),0% (0/0),439431,,
31S7M7DAGG4W3PRO09HSTDDXQX1TLY,3VKSEF3048C417617CEE6A8BQK20N0,Answer a short survey about situations and events,sort and relabel strange situations and events (<20 mins.),"survey, demographics, questionnaire, opinion, short",$1.50 ,Wed Jul 09 18:14:59 GMT 2014,50,BatchId:1597727;,10800,86400,Wed Jul 23 18:14:59 GMT 2014,,,37TD41K0AIN485IXOYO549M7UVFSCL,A225FVGETXRWF1,Approved,Wed Jul 09 18:15:56 GMT 2014,Wed Jul 09 18:19:52 GMT 2014,Thu Jul 10 18:19:52 GMT 2014,2014/07/09 22:54:32 +0000,,,236,100% (1/1),100% (1/1),0% (0/0),9322292,,
