"","idnum","question","replaced","Age","female","RBlack","RWhite","RHispanic","RNative","RAsian","RPacific","ROther","Educ","Inc","Home1","Home2","Spiritual","UrbRur","Region","Condition","event","overall_deflection","actor_deflection","behavior_deflection","object_deflection","abo","a_bo","ab_o"
"1",3,"replaced1","O",30,0,1,0,0,0,0,0,0,5,6,1,2,4,1,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"2",11,"replaced1","O",27,0,0,1,0,0,0,0,0,3,8,1,1,4,5,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"3",22,"replaced1",NA,22,0,0,1,0,0,0,0,0,3,6,2,2,2,1,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"4",29,"replaced1","A",34,0,0,1,0,0,0,0,0,3,3,1,2,1,3,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"5",39,"replaced1","B",23,0,0,0,1,0,0,0,0,5,5,2,2,4,5,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"6",40,"replaced1","O",29,1,0,1,0,0,1,0,0,4,6,1,2,2,1,2,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"7",50,"replaced1","B",27,1,0,1,0,0,0,0,0,6,5,1,2,4,3,9,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"8",59,"replaced1","B",46,1,0,1,0,0,0,0,0,6,1,1,2,4,4,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"9",86,"replaced1","O",25,0,0,1,0,0,0,0,0,5,5,1,2,1,2,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"10",88,"replaced1","B",19,0,0,1,0,0,0,0,0,3,6,2,2,4,5,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"11",96,"replaced1","A",33,0,0,1,0,0,0,0,0,4,4,1,2,3,1,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"12",99,"replaced1","B",24,1,0,1,0,0,0,0,0,3,3,1,2,3,4,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"13",117,"replaced1","O",32,0,0,1,0,0,0,0,0,5,7,1,1,2,3,2,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"14",119,"replaced1","B",31,0,0,1,0,0,0,0,0,2,7,1,2,4,3,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"15",123,"replaced1","O",26,1,0,1,0,0,0,0,0,3,3,2,2,2,4,3,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"16",130,"replaced1","B",22,0,0,0,0,0,1,0,0,3,1,1,2,4,2,6,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"17",134,"replaced1","B",34,0,0,1,0,0,0,0,0,5,4,2,2,4,5,2,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"18",136,"replaced1","O",23,0,0,0,0,0,1,0,0,3,2,1,2,4,5,6,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"19",141,"replaced1","B",46,0,0,1,0,0,0,0,0,3,5,1,2,2,4,2,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"20",143,"replaced1","B",23,0,0,0,0,0,1,0,0,5,8,1,2,1,2,3,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"21",145,"replaced1","B",37,1,0,1,0,0,0,0,0,4,4,1,2,2,4,3,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"22",146,"replaced1","B",49,1,0,1,0,0,0,0,0,5,5,1,2,3,2,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"23",148,"replaced1","O",29,1,0,0,0,0,1,0,0,6,2,1,2,4,1,6,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"24",150,"replaced1","B",34,1,0,1,0,0,0,0,0,5,7,1,2,4,4,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"25",160,"replaced1","B",23,0,0,1,0,0,0,0,0,5,6,1,2,4,2,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"26",163,"replaced1","O",20,0,0,1,0,0,0,0,0,3,1,1,2,4,4,6,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"27",170,"replaced1","O",19,1,0,0,1,0,0,0,0,3,2,2,2,2,1,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"28",186,"replaced1","A",45,1,0,1,0,0,0,0,0,5,4,1,2,2,1,6,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"29",211,"replaced1","B",48,1,0,1,0,0,0,0,0,2,3,1,2,3,1,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"30",216,"replaced1","B",41,0,0,1,0,0,0,0,0,5,7,1,1,4,1,2,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"31",223,"replaced1","O",31,1,0,1,0,0,0,0,0,5,1,1,2,1,3,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"32",230,"replaced1","B",60,1,0,1,0,0,0,0,0,3,1,2,2,1,2,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"33",234,"replaced1","B",29,1,0,1,0,0,0,0,0,3,4,1,2,4,4,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"34",242,"replaced1","B",58,1,0,0,0,0,1,0,0,5,6,1,2,3,2,2,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"35",244,"replaced1","B",32,1,0,1,0,0,0,0,0,3,5,1,2,1,2,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"36",260,"replaced1","B",33,1,0,1,0,0,0,0,0,5,-99,1,2,2,2,7,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"37",263,"replaced1","O",22,1,0,0,1,0,0,0,0,3,3,2,2,4,1,2,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"38",275,"replaced1","B",29,1,0,1,0,0,0,0,0,5,5,1,2,1,5,5,1,"bartender attacked bigot",4.86,2.44,1.61,0.81,1,NA,NA
"39",3,"replaced2","O",30,0,1,0,0,0,0,0,0,5,6,1,2,4,1,7,1,"boy-scout embarrassed sneak",4.31,2.8,1.13,0.38,1,NA,NA
